iter	Passed	Remaining
0	1	266
1	2	218
2	2	195
3	3	195
4	5	196
5	5	187
6	6	179
7	7	172
8	7	167
9	8	170
10	9	169
11	10	169
12	11	168
13	12	167
14	13	164
15	14	161
16	14	159
17	15	157
18	16	156
19	17	154
20	17	153
21	18	151
22	19	150
23	20	148
24	21	147
25	21	146
26	22	146
27	23	145
28	24	143
29	25	144
30	26	143
31	27	141
32	27	140
33	28	138
34	29	137
35	30	136
36	30	136
37	31	134
38	32	134
39	33	133
40	34	133
41	35	131
42	35	130
43	36	129
44	37	128
45	37	127
46	38	126
47	39	125
48	40	124
49	41	123
50	41	121
51	42	120
52	43	120
53	44	120
54	45	119
55	46	118
56	47	118
57	48	117
58	49	117
59	50	116
60	50	115
61	51	115
62	52	115
63	53	114
64	54	113
65	55	113
66	56	111
67	57	111
68	58	110
69	58	108
70	59	108
71	60	107
72	61	106
73	62	105
74	62	104
75	63	103
76	64	102
77	65	102
78	66	101
79	66	100
80	67	99
81	68	98
82	69	97
83	70	97
84	71	96
85	72	95
86	72	94
87	73	93
88	74	92
89	75	92
90	76	91
91	77	90
92	78	90
93	79	90
94	81	89
95	82	89
96	83	88
97	84	88
98	85	87
99	86	86
100	87	85
101	88	84
102	89	83
103	89	82
104	90	81
105	91	80
106	92	80
107	93	79
108	93	78
109	94	77
110	95	76
111	97	76
112	98	75
113	98	74
114	99	73
115	100	72
116	101	72
117	102	71
118	103	70
119	104	69
120	105	68
121	105	67
122	106	66
123	107	65
124	108	65
125	109	64
126	109	63
127	110	62
128	111	61
129	112	60
130	112	59
131	113	58
132	114	57
133	115	56
134	115	55
135	116	54
136	117	53
137	117	53
138	118	52
139	119	51
140	120	50
141	120	49
142	121	48
143	122	47
144	123	46
145	123	45
146	124	44
147	125	44
148	126	43
149	126	42
150	127	41
151	128	40
152	129	39
153	130	38
154	130	38
155	131	37
156	132	36
157	133	35
158	133	34
159	134	33
160	135	32
161	136	31
162	136	31
163	137	30
164	138	29
165	138	28
166	139	27
167	140	26
168	141	25
169	142	25
170	142	24
171	143	23
172	144	22
173	144	21
174	145	20
175	146	19
176	146	19
177	147	18
178	148	17
179	148	16
180	150	15
181	151	14
182	152	14
183	153	13
184	153	12
185	154	11
186	155	10
187	156	9
188	156	9
189	157	8
190	158	7
191	159	6
192	160	5
193	161	5
194	162	4
195	163	3
196	163	2
197	164	1
198	165	0
199	166	0
